"EmployeeNumber","JobRole","Department","JobLevel","BusinessTravel","Attrition"
"1383","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"1630","Healthcare Representative","Research & Development","2","Non-Travel","No"
"1656","Research Director","Research & Development","3","Travel_Rarely","No"
"1661","Healthcare Representative","Research & Development","4","Travel_Rarely","No"
"1668","Research Scientist","Research & Development","2","Travel_Frequently","No"
"1698","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1827","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1937","Research Scientist","Research & Development","2","Travel_Frequently","No"
"2017","Research Director","Research & Development","3","Travel_Rarely","No"
"117","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"131","Sales Executive","Sales","4","Travel_Rarely","No"
"153","Manager","Research & Development","3","Travel_Rarely","No"
"165","Healthcare Representative","Research & Development","3","Travel_Rarely","Yes"
"307","Sales Executive","Sales","3","Travel_Rarely","No"
"312","Sales Executive","Sales","3","Travel_Frequently","No"
"374","Manager","Research & Development","5","Travel_Rarely","No"
"410","Manager","Sales","4","Travel_Rarely","No"
"417","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"461","Research Director","Research & Development","3","Travel_Rarely","No"
"520","Research Director","Research & Development","4","Travel_Rarely","No"
"524","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"569","Manager","Research & Development","4","Travel_Rarely","No"
"899","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"987","Manufacturing Director","Research & Development","2","Travel_Frequently","No"
"1014","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1092","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1117","Sales Executive","Sales","2","Non-Travel","No"
"1238","Research Scientist","Research & Development","1","Travel_Rarely","No"
"1257","Research Scientist","Research & Development","1","Travel_Frequently","No"
"1277","Manager","Sales","5","Travel_Rarely","Yes"
"1282","Manager","Sales","5","Travel_Frequently","No"
"1541","Sales Representative","Sales","1","Travel_Rarely","No"
"1666","Research Director","Research & Development","4","Travel_Rarely","No"
"1696","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1805","Human Resources","Human Resources","1","Non-Travel","No"
"1867","Research Director","Research & Development","5","Travel_Rarely","No"
"1932","Research Scientist","Research & Development","2","Travel_Frequently","No"
"2016","Sales Executive","Sales","3","Travel_Rarely","No"
"20","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"124","Healthcare Representative","Research & Development","3","Travel_Frequently","No"
"184","Human Resources","Human Resources","2","Travel_Rarely","No"
"206","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"228","Sales Executive","Sales","3","Travel_Rarely","No"
"239","Laboratory Technician","Research & Development","2","Non-Travel","No"
"256","Manufacturing Director","Research & Development","2","Travel_Frequently","No"
"296","Research Director","Research & Development","3","Travel_Rarely","No"
"339","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"406","Sales Executive","Sales","3","Travel_Rarely","No"
"425","Laboratory Technician","Research & Development","3","Travel_Frequently","No"
"429","Manager","Research & Development","4","Travel_Rarely","No"
"442","Manufacturing Director","Research & Development","3","Travel_Frequently","No"
"444","Manager","Research & Development","5","Travel_Frequently","No"
"452","Research Scientist","Research & Development","2","Travel_Rarely","No"
"456","Sales Executive","Sales","2","Travel_Rarely","No"
"462","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"481","Sales Executive","Sales","3","Travel_Frequently","No"
"513","Sales Executive","Sales","3","Travel_Rarely","No"
"597","Manager","Sales","4","Travel_Rarely","No"
"600","Sales Executive","Sales","2","Travel_Rarely","No"
"605","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"630","Research Scientist","Research & Development","2","Travel_Rarely","No"
"638","Research Director","Research & Development","5","Travel_Rarely","No"
"683","Research Scientist","Research & Development","1","Travel_Rarely","No"
"780","Research Scientist","Research & Development","1","Travel_Rarely","Yes"
"817","Research Director","Research & Development","3","Travel_Rarely","No"
"901","Research Director","Research & Development","4","Travel_Rarely","No"
"944","Laboratory Technician","Research & Development","3","Travel_Rarely","No"
"984","Sales Executive","Sales","3","Travel_Rarely","No"
"1088","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1124","Manager","Sales","4","Travel_Rarely","No"
"1133","Manufacturing Director","Research & Development","2","Non-Travel","No"
"1167","Sales Executive","Sales","4","Travel_Frequently","Yes"
"1184","Healthcare Representative","Research & Development","2","Travel_Frequently","No"
"1241","Research Scientist","Research & Development","1","Travel_Rarely","No"
"1250","Research Director","Research & Development","4","Travel_Rarely","No"
"1252","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"1267","Manager","Sales","5","Travel_Rarely","No"
"1278","Healthcare Representative","Research & Development","4","Non-Travel","No"
"1288","Manager","Research & Development","5","Travel_Rarely","No"
"1289","Human Resources","Human Resources","2","Travel_Frequently","No"
"1307","Manager","Research & Development","4","Travel_Rarely","No"
"1336","Manager","Research & Development","5","Travel_Rarely","No"
"1352","Manager","Human Resources","4","Travel_Rarely","No"
"1360","Manufacturing Director","Research & Development","3","Travel_Rarely","Yes"
"1363","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1419","Human Resources","Human Resources","3","Travel_Rarely","No"
"1478","Sales Executive","Sales","2","Travel_Rarely","No"
"1480","Laboratory Technician","Research & Development","1","Travel_Frequently","No"
"1483","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1489","Sales Executive","Sales","2","Travel_Rarely","Yes"
"1520","Manager","Research & Development","4","Travel_Frequently","No"
"1535","Sales Executive","Sales","3","Travel_Rarely","No"
"1586","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1596","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1667","Sales Executive","Sales","2","Travel_Frequently","Yes"
"1701","Research Scientist","Research & Development","1","Travel_Rarely","No"
"1706","Sales Executive","Sales","2","Travel_Rarely","No"
"1824","Manager","Sales","4","Non-Travel","No"
"1880","Sales Executive","Sales","2","Travel_Rarely","No"
"1971","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1973","Manager","Human Resources","5","Travel_Rarely","No"
"1976","Research Scientist","Research & Development","2","Non-Travel","No"
"1985","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"2032","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"2056","Sales Executive","Sales","4","Travel_Rarely","No"
"23","Manager","Sales","4","Travel_Rarely","No"
"56","Sales Executive","Sales","3","Travel_Frequently","No"
"57","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"74","Sales Executive","Sales","3","Travel_Frequently","No"
"78","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"104","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"118","Sales Executive","Sales","3","Travel_Rarely","Yes"
"121","Sales Executive","Sales","2","Travel_Rarely","No"
"125","Sales Executive","Sales","2","Travel_Rarely","No"
"204","Sales Executive","Sales","3","Travel_Rarely","No"
"207","Sales Executive","Sales","3","Travel_Frequently","No"
"227","Research Scientist","Research & Development","1","Travel_Rarely","No"
"253","Manager","Research & Development","5","Travel_Rarely","No"
"264","Manager","Research & Development","4","Non-Travel","No"
"291","Sales Executive","Sales","3","Travel_Rarely","Yes"
"292","Manufacturing Director","Research & Development","3","Non-Travel","No"
"306","Research Director","Research & Development","3","Travel_Frequently","No"
"311","Sales Representative","Sales","1","Travel_Frequently","No"
"335","Research Scientist","Research & Development","2","Travel_Rarely","No"
"419","Laboratory Technician","Research & Development","2","Non-Travel","No"
"420","Sales Executive","Sales","2","Travel_Rarely","No"
"421","Research Director","Research & Development","3","Travel_Rarely","No"
"441","Research Scientist","Research & Development","2","Travel_Rarely","No"
"531","Manager","Research & Development","5","Travel_Frequently","No"
"549","Manager","Research & Development","5","Travel_Rarely","No"
"567","Sales Executive","Sales","3","Non-Travel","No"
"581","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"702","Research Scientist","Research & Development","1","Travel_Frequently","Yes"
"716","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"772","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"836","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"840","Sales Executive","Sales","3","Travel_Rarely","Yes"
"844","Research Director","Research & Development","3","Travel_Rarely","No"
"855","Sales Executive","Sales","2","Travel_Rarely","No"
"867","Manufacturing Director","Research & Development","4","Travel_Frequently","No"
"889","Sales Executive","Sales","2","Travel_Frequently","No"
"924","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"947","Sales Executive","Sales","2","Non-Travel","No"
"958","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"976","Manager","Research & Development","4","Travel_Rarely","No"
"992","Manager","Sales","4","Non-Travel","No"
"1002","Laboratory Technician","Research & Development","2","Non-Travel","No"
"1073","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1138","Sales Executive","Sales","4","Travel_Rarely","No"
"1165","Sales Executive","Sales","3","Travel_Rarely","Yes"
"1192","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1196","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1268","Sales Executive","Sales","3","Travel_Rarely","No"
"1285","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"1315","Laboratory Technician","Research & Development","2","Non-Travel","No"
"1324","Sales Executive","Sales","3","Non-Travel","No"
"1334","Manager","Research & Development","4","Non-Travel","No"
"1346","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1356","Sales Executive","Sales","2","Travel_Rarely","No"
"1423","Research Director","Research & Development","5","Travel_Rarely","No"
"1459","Manufacturing Director","Research & Development","3","Travel_Frequently","Yes"
"1468","Research Director","Research & Development","3","Non-Travel","No"
"1472","Research Director","Research & Development","4","Travel_Rarely","No"
"1485","Research Director","Research & Development","4","Travel_Frequently","No"
"1529","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1543","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1547","Healthcare Representative","Research & Development","3","Travel_Frequently","No"
"1553","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1562","Sales Executive","Sales","2","Travel_Rarely","Yes"
"1582","Sales Executive","Sales","2","Travel_Rarely","No"
"1606","Healthcare Representative","Research & Development","4","Travel_Frequently","No"
"1627","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1658","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1665","Manager","Research & Development","4","Travel_Rarely","No"
"1708","Sales Executive","Sales","3","Travel_Rarely","No"
"1737","Laboratory Technician","Research & Development","2","Non-Travel","No"
"1740","Manager","Sales","5","Travel_Rarely","No"
"1771","Research Scientist","Research & Development","2","Non-Travel","No"
"1790","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1798","Research Scientist","Research & Development","1","Travel_Rarely","No"
"1823","Sales Executive","Sales","2","Travel_Rarely","No"
"1852","Laboratory Technician","Research & Development","1","Travel_Frequently","No"
"1857","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1864","Sales Representative","Sales","2","Travel_Rarely","No"
"1881","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1888","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1950","Sales Executive","Sales","3","Travel_Rarely","No"
"1956","Research Scientist","Research & Development","2","Travel_Frequently","No"
"1962","Sales Executive","Sales","2","Travel_Rarely","No"
"1975","Sales Executive","Sales","4","Travel_Rarely","No"
"1986","Sales Executive","Sales","2","Travel_Rarely","No"
"1989","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"2000","Research Director","Research & Development","3","Non-Travel","No"
"2019","Sales Representative","Sales","1","Non-Travel","No"
"2","Research Scientist","Research & Development","2","Travel_Frequently","No"
"5","Research Scientist","Research & Development","1","Travel_Frequently","No"
"8","Laboratory Technician","Research & Development","1","Travel_Frequently","No"
"12","Manufacturing Director","Research & Development","3","Travel_Frequently","No"
"13","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"35","Sales Executive","Sales","2","Travel_Rarely","No"
"76","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"98","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"120","Sales Executive","Sales","2","Travel_Rarely","No"
"147","Laboratory Technician","Research & Development","2","Travel_Frequently","Yes"
"154","Sales Executive","Sales","3","Travel_Frequently","No"
"159","Research Scientist","Research & Development","1","Travel_Frequently","No"
"160","Sales Executive","Sales","2","Non-Travel","No"
"163","Sales Executive","Sales","2","Travel_Rarely","Yes"
"176","Sales Executive","Sales","3","Travel_Rarely","No"
"177","Human Resources","Human Resources","1","Travel_Rarely","No"
"195","Sales Executive","Sales","2","Travel_Frequently","No"
"202","Research Scientist","Research & Development","2","Travel_Frequently","No"
"205","Sales Representative","Sales","2","Travel_Rarely","No"
"208","Manufacturing Director","Research & Development","2","Non-Travel","No"
"238","Laboratory Technician","Research & Development","1","Travel_Frequently","No"
"252","Research Scientist","Research & Development","1","Travel_Rarely","No"
"258","Healthcare Representative","Research & Development","4","Travel_Rarely","No"
"260","Research Scientist","Research & Development","1","Travel_Rarely","No"
"267","Research Scientist","Research & Development","1","Travel_Rarely","No"
"273","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"275","Manufacturing Director","Research & Development","2","Non-Travel","No"
"293","Sales Executive","Sales","2","Travel_Frequently","No"
"302","Sales Executive","Sales","3","Non-Travel","No"
"314","Sales Executive","Sales","3","Travel_Frequently","No"
"328","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"329","Manager","Sales","5","Non-Travel","No"
"352","Research Director","Research & Development","5","Travel_Rarely","No"
"361","Sales Executive","Sales","2","Non-Travel","No"
"363","Manager","Sales","4","Travel_Rarely","No"
"372","Healthcare Representative","Research & Development","4","Travel_Rarely","No"
"376","Manager","Research & Development","3","Non-Travel","Yes"
"381","Manager","Research & Development","3","Travel_Rarely","No"
"388","Sales Executive","Sales","2","Travel_Frequently","No"
"389","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"401","Sales Executive","Sales","2","Travel_Rarely","Yes"
"416","Sales Executive","Sales","2","Travel_Rarely","No"
"430","Laboratory Technician","Research & Development","1","Travel_Frequently","No"
"438","Sales Executive","Sales","2","Travel_Rarely","No"
"439","Research Scientist","Research & Development","2","Travel_Rarely","No"
"446","Sales Executive","Sales","2","Travel_Frequently","No"
"448","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"454","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"458","Sales Executive","Sales","2","Travel_Rarely","No"
"463","Sales Executive","Sales","2","Travel_Rarely","No"
"474","Research Scientist","Research & Development","2","Travel_Rarely","No"
"476","Sales Executive","Sales","2","Travel_Rarely","No"
"483","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"488","Sales Executive","Sales","2","Travel_Frequently","Yes"
"500","Sales Executive","Sales","2","Travel_Rarely","No"
"515","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"532","Sales Executive","Sales","4","Travel_Frequently","No"
"534","Sales Executive","Sales","3","Travel_Rarely","No"
"550","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"571","Laboratory Technician","Research & Development","1","Non-Travel","No"
"586","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"595","Sales Executive","Sales","2","Travel_Rarely","No"
"606","Sales Executive","Sales","2","Travel_Rarely","No"
"608","Human Resources","Human Resources","1","Travel_Frequently","Yes"
"616","Healthcare Representative","Research & Development","2","Non-Travel","No"
"621","Sales Executive","Sales","2","Travel_Rarely","No"
"653","Sales Executive","Sales","2","Travel_Rarely","No"
"663","Laboratory Technician","Research & Development","2","Travel_Frequently","No"
"682","Sales Executive","Sales","2","Travel_Rarely","No"
"689","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"698","Human Resources","Human Resources","3","Travel_Rarely","No"
"709","Sales Executive","Sales","2","Travel_Rarely","No"
"710","Research Scientist","Research & Development","1","Travel_Frequently","No"
"717","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"721","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"722","Sales Executive","Sales","2","Travel_Rarely","No"
"724","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"725","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"727","Research Director","Research & Development","3","Travel_Rarely","No"
"728","Sales Executive","Sales","2","Travel_Rarely","No"
"733","Manufacturing Director","Research & Development","3","Travel_Frequently","No"
"734","Manager","Human Resources","5","Travel_Rarely","No"
"741","Research Scientist","Research & Development","1","Travel_Rarely","Yes"
"742","Research Director","Research & Development","3","Non-Travel","No"
"747","Sales Executive","Sales","2","Travel_Rarely","No"
"762","Healthcare Representative","Research & Development","4","Travel_Rarely","No"
"783","Sales Representative","Sales","2","Travel_Rarely","No"
"789","Sales Executive","Sales","3","Non-Travel","No"
"793","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"803","Manufacturing Director","Research & Development","2","Travel_Frequently","No"
"807","Healthcare Representative","Research & Development","2","Travel_Frequently","No"
"809","Manager","Research & Development","5","Travel_Frequently","No"
"823","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"824","Research Scientist","Research & Development","1","Travel_Rarely","No"
"842","Sales Executive","Sales","2","Travel_Rarely","Yes"
"846","Sales Executive","Sales","2","Travel_Rarely","No"
"848","Research Scientist","Research & Development","1","Travel_Frequently","Yes"
"913","Research Scientist","Research & Development","1","Travel_Rarely","No"
"927","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"941","Sales Representative","Sales","1","Travel_Rarely","No"
"956","Sales Executive","Sales","2","Travel_Frequently","No"
"961","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"966","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"967","Sales Executive","Sales","3","Travel_Rarely","Yes"
"972","Laboratory Technician","Research & Development","2","Non-Travel","No"
"985","Sales Executive","Sales","3","Travel_Rarely","No"
"990","Sales Executive","Sales","2","Non-Travel","No"
"1007","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1013","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1015","Research Director","Research & Development","3","Travel_Rarely","No"
"1018","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1034","Healthcare Representative","Research & Development","2","Travel_Frequently","No"
"1040","Sales Executive","Sales","2","Non-Travel","No"
"1046","Laboratory Technician","Research & Development","1","Non-Travel","No"
"1050","Sales Executive","Sales","3","Travel_Frequently","No"
"1066","Sales Executive","Sales","2","Travel_Rarely","No"
"1074","Manager","Research & Development","4","Non-Travel","No"
"1082","Healthcare Representative","Research & Development","3","Non-Travel","Yes"
"1097","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1100","Sales Executive","Sales","3","Travel_Rarely","Yes"
"1101","Research Scientist","Research & Development","2","Travel_Frequently","Yes"
"1106","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"1119","Sales Executive","Sales","3","Travel_Rarely","No"
"1121","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1126","Manufacturing Director","Research & Development","3","Travel_Frequently","No"
"1127","Healthcare Representative","Research & Development","4","Travel_Frequently","Yes"
"1128","Research Director","Research & Development","5","Travel_Rarely","No"
"1150","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1166","Research Director","Research & Development","3","Travel_Frequently","No"
"1177","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1182","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1201","Manager","Research & Development","5","Travel_Rarely","No"
"1218","Sales Executive","Sales","2","Travel_Rarely","No"
"1220","Sales Executive","Sales","2","Travel_Frequently","No"
"1221","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1224","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1233","Sales Executive","Sales","2","Travel_Rarely","No"
"1235","Research Scientist","Research & Development","2","Travel_Frequently","No"
"1237","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1244","Research Scientist","Research & Development","1","Travel_Rarely","No"
"1255","Research Director","Research & Development","5","Travel_Rarely","No"
"1264","Research Director","Research & Development","4","Travel_Rarely","No"
"1283","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1293","Sales Executive","Sales","3","Travel_Rarely","No"
"1295","Healthcare Representative","Research & Development","3","Travel_Rarely","Yes"
"1299","Laboratory Technician","Research & Development","1","Travel_Rarely","Yes"
"1304","Sales Executive","Sales","2","Travel_Rarely","No"
"1312","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1319","Sales Executive","Sales","3","Travel_Rarely","Yes"
"1322","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1344","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1355","Sales Executive","Sales","2","Travel_Rarely","No"
"1362","Sales Executive","Sales","2","Travel_Frequently","No"
"1369","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1372","Sales Executive","Sales","4","Travel_Rarely","Yes"
"1377","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1402","Research Scientist","Research & Development","2","Travel_Rarely","No"
"1408","Manager","Human Resources","4","Travel_Rarely","No"
"1417","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1421","Healthcare Representative","Research & Development","3","Travel_Frequently","Yes"
"1422","Research Director","Research & Development","4","Travel_Rarely","No"
"1424","Research Director","Research & Development","4","Travel_Rarely","No"
"1449","Laboratory Technician","Research & Development","2","Non-Travel","No"
"1453","Sales Executive","Sales","3","Travel_Rarely","No"
"1457","Sales Executive","Sales","3","Travel_Rarely","Yes"
"1460","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1484","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1497","Sales Executive","Sales","2","Travel_Rarely","No"
"1522","Research Scientist","Research & Development","1","Travel_Rarely","Yes"
"1544","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"1550","Manager","Human Resources","4","Travel_Rarely","No"
"1557","Sales Executive","Sales","2","Travel_Rarely","No"
"1572","Manufacturing Director","Research & Development","3","Travel_Rarely","Yes"
"1608","Research Director","Research & Development","5","Travel_Rarely","No"
"1611","Laboratory Technician","Research & Development","2","Travel_Rarely","No"
"1612","Sales Executive","Sales","2","Non-Travel","No"
"1615","Manufacturing Director","Research & Development","2","Travel_Frequently","No"
"1618","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1619","Laboratory Technician","Research & Development","1","Travel_Rarely","No"
"1635","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1642","Human Resources","Human Resources","2","Travel_Frequently","No"
"1653","Manufacturing Director","Research & Development","2","Travel_Frequently","No"
"1677","Manager","Research & Development","4","Travel_Rarely","No"
"1691","Sales Representative","Sales","1","Travel_Frequently","Yes"
"1693","Laboratory Technician","Research & Development","1","Non-Travel","No"
"1703","Healthcare Representative","Research & Development","3","Travel_Rarely","No"
"1710","Sales Representative","Sales","2","Travel_Rarely","No"
"1727","Healthcare Representative","Research & Development","2","Travel_Rarely","No"
"1728","Manufacturing Director","Research & Development","2","Travel_Rarely","No"
"1745","Research Scientist","Research & Development","1","Travel_Frequently","No"
"1754","Sales Executive","Sales","3","Travel_Rarely","No"
"1756","Sales Executive","Sales","2","Non-Travel","No"
"1764","Research Scientist","Research & Development","1","Non-Travel","No"
"1778","Human Resources","Human Resources","1","Travel_Rarely","No"
"1784","Sales Executive","Sales","2","Travel_Rarely","No"
"1797","Sales Executive","Sales","2","Travel_Rarely","Yes"
"1804","Manufacturing Director","Research & Development","2","Non-Travel","No"
"1816","Manufacturing Director","Research & Development","3","Travel_Rarely","No"
"1821","Healthcare Representative","Research & Development","2","Travel_Rarely","Yes"
"1845","Sales Executive","Sales","2","Non-Travel","No"
"1849","Sales Executive","Sales","2","Travel_Frequently","No"
