"EmployeeNumber","EnvironmentSatisfaction","JobInvolvement","JobSatisfaction","WorkLifeBalance"
"1073","4","2","4","2"
"1138","4","2","2","3"
"1165","4","2","1","1"
"1192","2","3","4","3"
"1196","4","2","4","2"
"1268","4","4","3","3"
"1285","3","3","2","4"
"1315","3","1","4","3"
"1324","4","3","3","2"
"1334","3","3","3","2"
"1346","3","3","4","3"
"1356","3","3","1","4"
"1423","4","3","1","3"
"1459","3","4","2","3"
"1468","4","2","2","3"
"1472","4","4","2","2"
"1485","2","3","1","2"
"1529","4","2","2","1"
"1543","1","3","4","3"
"1547","4","3","4","1"
"1553","1","3","2","3"
"1562","2","2","1","3"
"1582","3","3","2","3"
"1606","2","3","3","3"
"1627","3","2","3","3"
"1658","4","3","2","3"
"1665","2","3","3","3"
"1708","4","3","3","3"
"1737","4","3","4","3"
"1740","2","3","2","2"
"1771","4","3","2","2"
"1790","4","3","1","3"
"1798","4","4","1","3"
"1823","2","4","3","3"
"1852","4","3","4","4"
"1857","4","3","4","2"
"1864","2","2","3","3"
"1881","2","3","3","3"
"1888","2","2","4","2"
"1950","1","3","4","2"
"1956","4","1","1","3"
"1962","3","3","4","3"
"1975","2","3","1","3"
"1986","2","3","2","3"
"1989","4","3","2","2"
"2000","3","3","2","1"
"2019","1","3","4","2"
"2","3","2","2","3"
"5","4","3","3","3"
"8","4","3","4","2"
"12","4","2","3","3"
"13","3","3","3","2"
"35","3","3","2","3"
"76","4","3","4","2"
"98","3","3","4","3"
"120","3","3","4","1"
"147","1","1","3","3"
"154","2","3","4","3"
"159","1","1","3","2"
"160","3","3","2","4"
"163","2","1","3","2"
"176","3","3","3","3"
"177","3","3","3","3"
"195","4","1","4","4"
"202","2","3","2","3"
"205","2","3","3","1"
"208","4","3","3","3"
"238","4","3","2","2"
"252","4","3","2","3"
"258","4","3","2","3"
"260","4","3","2","2"
"267","2","4","1","2"
"273","4","3","4","1"
"275","4","3","4","3"
"293","4","3","3","3"
"302","4","2","4","3"
"314","3","3","3","4"
"328","1","3","1","4"
"329","1","2","3","4"
"352","1","3","3","3"
"361","4","2","4","3"
"363","3","1","2","2"
"372","3","3","4","3"
"376","1","3","2","2"
"381","2","4","2","2"
"388","2","3","4","2"
"389","2","3","4","3"
"401","4","2","4","3"
"416","2","4","4","2"
"430","3","3","4","3"
"438","4","3","4","3"
"439","1","4","4","2"
"446","2","2","4","2"
"448","3","2","3","4"
"454","2","1","1","2"
"458","2","3","2","3"
"463","4","2","2","3"
"474","3","4","1","3"
"476","3","3","3","3"
"483","4","4","3","3"
"488","1","3","2","3"
"500","3","3","4","2"
"515","4","3","1","2"
"532","3","4","1","2"
"534","2","4","1","3"
"550","3","3","3","2"
"571","3","3","4","2"
"586","4","3","3","3"
"595","2","3","4","3"
"606","4","3","2","4"
"608","2","3","3","2"
"616","1","2","3","3"
"621","4","4","4","3"
"653","1","4","4","4"
"663","4","3","3","3"
"682","4","3","1","4"
"689","3","3","3","3"
"698","3","3","2","4"
"709","4","2","4","3"
"710","2","1","4","3"
"717","4","2","2","4"
"721","4","2","3","3"
"722","4","3","4","2"
"724","2","4","4","2"
"725","3","3","1","3"
"727","3","3","4","3"
"728","4","3","1","3"
"733","4","3","1","2"
"734","4","2","3","3"
"741","1","1","2","3"
"742","1","4","1","3"
"747","3","3","4","2"
"762","3","3","4","2"
"783","2","1","3","3"
"789","1","2","1","3"
"793","2","3","3","2"
"803","1","4","1","3"
"807","3","4","2","3"
"809","2","3","4","2"
"823","3","3","2","3"
"824","3","4","3","3"
"842","3","3","4","2"
"846","2","3","2","3"
"848","3","2","3","3"
"913","2","3","1","3"
"927","2","1","4","2"
"941","2","2","3","4"
"956","3","2","1","3"
"961","4","3","4","1"
"966","3","3","1","4"
"967","3","2","4","3"
"972","3","3","2","2"
"985","1","4","3","3"
"990","1","3","4","3"
"1007","4","3","3","3"
"1013","3","3","3","3"
"1015","2","4","1","2"
"1018","4","4","4","3"
"1034","3","3","2","3"
"1040","4","3","3","3"
"1046","4","3","3","3"
"1050","3","2","2","3"
"1066","3","3","1","2"
"1074","3","2","1","4"
"1082","2","2","1","2"
"1097","3","3","3","4"
"1100","4","3","1","3"
"1101","1","2","3","3"
"1106","4","3","4","4"
"1119","3","2","3","3"
"1121","4","3","2","2"
"1126","3","3","1","3"
"1127","1","3","4","3"
"1128","3","2","3","4"
"1150","2","2","4","2"
"1166","2","3","3","2"
"1177","1","4","4","3"
"1182","3","2","2","4"
"1201","4","3","3","3"
"1218","3","3","1","3"
"1220","2","3","3","2"
"1221","3","1","3","3"
"1224","3","3","3","2"
"1233","2","4","4","3"
"1235","4","3","3","3"
"1237","3","1","1","3"
"1244","1","3","1","2"
"1255","3","1","4","3"
"1264","4","2","4","2"
"1283","4","3","4","2"
"1293","4","2","4","4"
"1295","1","3","4","3"
"1299","2","3","3","3"
"1304","3","4","4","4"
"1312","4","3","3","3"
"1319","2","3","2","2"
"1322","1","3","3","3"
"1344","4","3","4","2"
"1355","2","3","1","3"
"1362","1","4","1","2"
"1369","4","2","4","3"
"1372","1","4","3","2"
"1377","2","3","3","3"
"1402","1","2","3","1"
"1408","3","3","1","3"
"1417","3","4","1","3"
"1421","3","3","4","3"
"1422","4","3","4","2"
"1424","2","4","4","4"
"1449","3","3","3","4"
"1453","1","3","4","3"
"1457","1","3","4","4"
"1460","2","1","1","3"
"1484","3","3","2","3"
"1497","3","2","3","3"
"1522","1","2","1","1"
"1544","3","1","1","3"
"1550","3","3","4","3"
"1557","3","3","3","3"
"1572","3","2","4","3"
"1608","2","3","4","2"
"1611","3","1","1","3"
"1612","1","2","1","3"
"1615","3","4","4","3"
"1618","2","3","1","3"
"1619","4","2","1","3"
"1635","4","2","4","3"
"1642","1","3","4","3"
"1653","4","4","3","3"
"1677","3","3","3","3"
"1691","4","3","3","3"
"1693","4","3","4","3"
"1703","3","4","4","3"
"1710","3","3","4","2"
"1727","3","3","2","3"
"1728","4","3","3","3"
"1745","4","2","1","3"
"1754","3","2","1","3"
"1756","4","3","2","2"
"1764","2","3","2","3"
"1778","2","3","4","3"
"1784","1","2","4","3"
"1797","3","3","4","3"
"1804","2","3","4","3"
"1816","1","3","3","3"
"1821","4","3","2","4"
"1845","3","3","3","4"
"1849","1","3","4","3"
"1869","3","3","2","3"
"1892","1","3","1","3"
"1898","1","4","3","2"
"1911","3","3","1","4"
"1918","3","4","4","3"
"1927","3","2","4","3"
"1934","3","3","2","4"
"1951","4","3","3","2"
"1952","3","3","1","2"
"1965","4","3","4","3"
"1967","1","3","4","3"
"1970","4","3","3","3"
"1979","3","3","3","4"
"2008","2","3","3","3"
"2009","2","3","4","3"
"2014","1","3","4","3"
"2024","1","2","4","3"
"2034","1","2","2","3"
"2035","4","2","3","3"
"2041","1","3","4","3"
"2062","4","2","1","3"
"28","1","3","2","3"
"36","1","2","4","3"
"62","1","3","4","3"
"199","4","2","1","2"
"343","3","3","3","3"
"351","4","2","1","3"
"428","4","3","2","3"
"464","3","3","2","3"
"582","2","3","3","4"
"601","2","3","3","3"
"731","2","2","4","2"
"764","4","2","1","1"
"776","3","2","1","4"
"851","1","3","3","2"
"903","3","3","4","3"
"905","1","3","1","3"
"942","4","3","4","1"
"1026","4","2","4","3"
"1043","4","3","1","3"
"1085","2","4","3","3"
"1098","2","2","1","3"
"1109","4","3","1","3"
"1118","2","3","2","3"
"1152","3","4","3","4"
"1314","4","3","1","4"
"1350","3","3","3","3"
"1514","3","1","2","2"
"1523","4","3","1","4"
"1539","3","1","4","3"
"1578","3","2","4","3"
"1588","4","4","3","3"
"1617","3","3","1","2"
"1719","4","2","2","3"
"1732","3","3","4","2"
"1870","4","2","1","2"
"2031","1","3","3","2"
"2065","4","2","2","2"
"15","4","2","3","3"
"60","2","3","3","3"
"77","1","2","3","4"
"85","2","2","2","3"
"192","3","3","4","2"
"346","3","3","4","3"
"384","3","3","2","1"
"498","2","3","4","3"
"551","4","2","4","4"
"604","2","3","4","4"
"623","2","3","4","4"
"626","1","3","2","3"
"635","2","3","2","2"
"639","2","4","4","3"
"644","1","3","2","3"
"649","2","2","4","3"
"714","4","4","4","3"
"781","3","3","4","2"
"786","4","3","4","3"
"804","3","2","1","3"
"845","3","3","3","4"
"856","3","2","1","2"
"998","3","4","2","3"
"1120","3","3","4","3"
"1143","4","3","2","2"
"1163","2","3","3","2"
"1216","4","2","1","3"
"1246","1","4","4","3"
"1251","3","3","1","2"
"1275","3","3","4","2"
"1438","1","3","4","2"
"1440","3","4","3","1"
"1574","4","3","1","2"
"1671","4","3","2","2"
"1681","3","3","4","3"
"1716","3","1","3","1"
"1","2","3","4","1"
"14","1","4","2","3"
"94","3","3","2","3"
"96","2","3","2","3"
"105","2","2","3","3"
"112","4","1","4","2"
"129","2","3","3","4"
"142","3","2","3","3"
"161","2","3","2","3"
"164","3","2","2","2"
"190","1","3","1","4"
"194","1","3","3","2"
"226","3","3","2","3"
"231","3","3","3","3"
"240","3","3","1","4"
"262","4","4","4","4"
"283","2","3","4","2"
"308","3","1","3","3"
"325","3","3","4","1"
"355","3","2","2","4"
"378","3","3","4","4"
"385","1","3","2","2"
"404","3","3","2","4"
"437","4","3","3","3"
"449","3","3","2","3"
"466","4","2","2","3"
"486","3","3","1","3"
"492","3","2","3","3"
"505","3","3","4","3"
"510","3","3","1","3"
"516","4","3","2","3"
"527","2","2","4","3"
"533","2","3","3","3"
"543","4","2","3","3"
"547","1","3","3","3"
"548","3","1","4","3"
"577","4","1","3","3"
"613","3","2","4","2"
"620","1","3","3","3"
"645","2","3","3","3"
"679","1","3","4","2"
"785","2","4","3","3"
"861","2","2","4","2"
"864","4","3","1","3"
"878","1","2","1","3"
"895","4","3","4","3"
"900","3","3","4","3"
"909","4","2","4","3"
"936","3","2","3","3"
"982","3","3","3","4"
"997","4","3","4","2"
"1048","2","3","4","1"
"1070","3","2","3","3"
"1071","1","3","3","3"
"1116","1","4","4","2"
"1132","3","3","2","2"
"1164","3","3","3","1"
"1171","2","3","1","4"
"1200","3","3","3","3"
"1202","2","1","4","2"
"1207","2","3","3","3"
"1245","4","3","3","1"
"1280","4","2","2","3"
"1298","3","3","3","3"
"1309","4","3","3","3"
"1318","4","2","2","3"
"1374","1","2","3","3"
"1390","1","2","4","4"
"1394","3","3","3","3"
"1395","2","3","4","4"
"1397","3","3","3","3"
"1409","3","3","1","1"
"1425","1","3","2","3"
"1435","1","2","4","2"
"1445","4","3","3","3"
"1447","4","2","2","2"
"1469","4","3","1","3"
"1502","1","2","2","3"
"1503","3","3","3","2"
"1534","4","3","1","1"
"1546","4","3","4","3"
"1548","1","3","1","4"
"1590","1","3","4","4"
"1598","4","3","1","3"
"1599","4","4","2","3"
"1609","2","2","2","2"
"1638","4","2","3","4"
"1640","2","3","2","1"
"1654","4","3","2","3"
"1664","4","4","1","3"
"1684","4","2","3","3"
"1704","1","2","4","4"
"1736","4","3","4","2"
"1782","4","2","3","3"
"1826","2","1","3","4"
"1829","2","3","1","3"
"1850","4","3","4","2"
"1909","3","3","2","3"
"1924","2","3","3","2"
"1941","2","3","4","3"
"1949","1","4","2","3"
"2037","3","2","2","3"
"2054","4","2","1","1"
"2057","2","3","1","3"
"27","3","2","1","3"
"46","4","4","3","2"
"52","3","4","1","3"
"68","2","3","1","2"
"79","4","3","4","3"
"80","2","2","3","2"
"91","1","2","3","2"
"119","3","2","2","2"
"126","1","3","3","1"
"141","1","3","2","2"
"148","4","4","4","3"
"150","2","3","3","3"
"152","3","3","4","3"
"198","2","2","4","3"
"216","3","3","3","3"
"223","3","4","4","1"
"230","1","2","4","4"
"248","2","3","2","2"
"270","3","3","3","3"
"277","4","3","3","4"
"299","3","2","1","2"
"315","3","2","4","2"
"330","3","3","2","3"
"369","2","4","1","3"
"386","3","3","3","2"
"390","1","3","1","3"
"395","4","3","4","3"
"412","2","4","1","3"
"422","4","1","3","3"
"434","3","3","2","2"
"450","4","3","3","2"
"453","2","1","4","2"
"469","4","3","3","2"
"491","4","2","4","3"
"554","1","3","2","3"
"562","3","3","4","1"
"579","4","2","3","3"
"584","1","1","4","3"
"592","2","3","4","2"
"599","4","3","4","3"
"602","3","3","3","3"
"641","1","3","2","4"
"647","1","3","3","3"
"655","1","2","3","2"
"667","3","3","1","3"
"723","2","3","3","3"
"758","2","3","1","4"
"760","3","4","2","1"
"791","4","3","4","3"
"796","4","2","1","2"
"799","4","3","1","3"
"802","4","3","1","2"
"815","3","3","3","3"
"827","4","2","4","3"
"837","1","2","1","2"
"854","1","4","1","2"
"865","3","4","3","2"
"879","3","3","1","3"
"894","3","4","4","2"
"910","4","3","2","4"
"912","1","2","4","3"
"983","3","3","4","3"
"996","4","3","4","3"
"1011","3","3","1","3"
"1019","2","1","1","2"
"1032","3","2","4","3"
"1045","4","3","4","4"
"1049","2","3","2","3"
"1062","4","3","2","2"
"1068","1","2","3","3"
"1083","1","2","1","3"
"1136","1","2","2","1"
"1173","4","3","2","3"
"1179","3","2","3","3"
"1188","1","1","3","2"
"1211","3","3","1","3"
"1228","4","3","4","2"
"1231","4","4","1","4"
"1240","3","3","4","3"
"1259","1","3","3","3"
"1338","4","3","2","3"
"1349","3","3","1","3"
"1387","3","2","1","3"
"1401","4","4","3","2"
"1407","1","2","4","3"
"1420","1","2","1","3"
"1431","4","3","1","3"
"1446","4","3","4","2"
"1477","4","3","1","3"
"1487","1","3","2","1"
"1499","3","3","3","4"
"1533","1","3","3","3"
"1545","4","2","2","3"
"1554","2","2","3","3"
"1563","3","3","3","3"
"1622","2","1","1","2"
"1631","3","3","3","2"
"1646","1","3","4","3"
"1659","1","3","2","3"
"1675","4","2","2","3"
"1689","2","4","4","3"
"1700","3","1","4","2"
"1707","3","4","3","3"
"1709","4","3","3","3"
"1739","4","1","3","1"
"1768","2","3","2","2"
"1772","3","3","1","3"
"1792","3","3","2","2"
"1799","3","3","4","4"
"1800","3","3","3","3"
"1802","3","3","1","2"
"1809","4","3","1","1"
"1822","3","3","4","3"
"1836","3","3","4","3"
"1854","3","3","3","2"
"1882","3","3","4","3"
"1885","4","3","1","3"
"1931","2","3","2","2"
"1945","2","3","1","1"
"1947","3","3","3","2"
"1954","1","3","1","2"
"1969","1","3","3","2"
"1981","2","2","3","2"
"1997","1","2","3","3"
"1998","4","3","1","2"
"1999","4","3","4","3"
"2018","1","3","3","2"
"2020","2","3","4","3"
"2044","2","3","3","3"
"2045","2","2","4","2"
"2046","4","3","3","3"
"2051","3","3","3","3"
"2052","3","1","4","3"
"2053","4","2","2","3"
"2068","2","4","3","4"
"7","1","3","2","3"
"16","1","3","3","2"
"18","2","3","4","3"
"19","3","2","3","3"
"21","1","4","2","2"
"24","4","3","4","3"
"26","1","4","3","2"
"31","2","3","1","3"
"33","2","1","1","3"
"38","2","3","1","2"
"40","4","3","4","4"
"47","1","2","3","3"
"49","4","3","4","3"
"65","3","3","3","2"
"72","3","2","4","2"
"75","3","3","1","3"
"88","2","3","1","2"
"102","1","3","3","4"
"103","2","3","2","3"
"110","1","3","2","3"
"116","4","3","4","3"
"128","1","3","3","2"
"132","2","3","2","4"
"133","3","3","1","3"
"140","3","2","4","3"
"143","4","2","4","3"
"171","2","4","3","3"
"174","3","3","4","3"
"175","2","1","3","3"
"178","2","3","2","3"
"179","1","1","4","3"
"183","1","2","3","3"
"193","4","3","3","3"
"197","4","3","1","3"
"217","3","3","4","3"
"218","4","3","2","1"
"221","3","3","4","1"
"233","3","3","2","2"
"241","3","3","1","3"
"245","3","3","4","3"
"246","3","3","4","3"
"247","4","3","2","3"
"249","3","2","3","2"
"250","4","4","1","3"
"269","2","3","2","3"
"274","3","2","1","3"
"281","3","3","4","4"
"284","4","4","2","2"
"287","4","2","4","1"
"288","4","3","1","3"
"297","4","3","1","3"
"300","3","3","3","2"
"303","4","3","1","3"
"305","3","2","2","3"
"316","3","2","4","2"
"321","2","3","3","2"
"331","4","2","3","1"
"332","3","3","3","3"
"333","3","3","4","3"
"337","2","3","3","3"
"338","3","2","4","2"
"341","1","4","3","3"
"347","4","4","1","3"
"349","4","3","4","3"
"350","1","3","3","3"
"362","4","2","1","3"
"377","4","3","4","2"
"379","4","2","3","4"
"380","1","3","4","3"
"393","4","3","4","3"
"394","1","3","2","3"
"396","3","3","1","3"
"399","4","3","2","2"
"403","2","3","4","2"
"423","3","3","4","3"
"424","1","2","1","3"
"426","3","3","4","1"
"433","3","2","2","2"
"440","1","1","4","2"
"447","4","3","3","3"
"455","2","2","4","3"
"460","4","3","4","2"
"465","3","3","4","2"
"470","3","3","3","3"
"475","4","3","3","4"
"478","1","2","2","3"
"482","4","3","3","3"
"484","1","3","4","2"
"493","3","2","2","3"
"495","4","3","4","3"
"497","4","3","2","3"
"499","2","2","3","3"
"501","4","3","3","3"
"502","1","4","4","2"
"507","4","3","3","4"
"517","2","3","1","3"
"522","1","3","1","2"
"523","3","3","3","3"
"525","4","3","4","3"
"526","3","3","3","3"
"530","4","2","1","3"
"538","1","3","1","3"
"544","1","3","4","2"
"546","4","3","4","1"
"555","4","1","3","2"
"560","1","3","4","1"
"564","2","2","3","3"
"565","3","2","2","4"
"575","1","3","3","1"
"580","3","2","4","3"
"585","4","3","2","3"
"590","2","3","1","3"
"591","2","3","3","3"
"593","3","2","3","3"
"611","4","3","4","4"
"624","1","3","3","2"
"631","4","4","3","3"
"632","4","3","4","3"
"652","1","2","4","3"
"659","3","3","4","3"
"664","4","2","1","1"
"665","1","2","3","4"
"666","3","3","3","3"
"669","3","3","3","3"
"671","4","3","4","4"
"675","1","3","3","3"
"686","3","3","4","3"
"699","2","2","2","3"
"700","1","2","4","3"
"705","1","4","1","4"
"707","4","4","2","3"
"712","2","4","2","3"
"720","1","3","3","3"
"732","1","3","1","3"
"738","4","3","2","3"
"744","1","1","3","3"
"746","4","3","3","2"
"752","3","4","3","3"
"754","4","2","4","3"
"763","4","2","4","2"
"766","4","3","2","3"
"769","4","3","4","3"
"784","1","4","3","3"
"787","4","3","1","3"
"792","1","1","4","3"
"797","2","4","4","3"
"800","3","3","4","3"
"805","1","3","4","2"
"806","4","1","3","3"
"808","3","3","1","3"
"813","4","3","3","3"
"819","1","3","1","3"
"826","4","4","3","3"
"828","3","3","3","2"
"829","3","3","2","3"
"838","3","2","4","3"
"847","3","3","4","1"
"852","4","3","2","2"
"859","2","3","4","2"
"862","1","2","4","3"
"872","4","2","4","1"
"874","1","4","4","2"
"881","4","3","2","2"
"885","3","2","1","4"
"887","3","3","1","3"
"888","1","2","4","2"
"893","2","2","2","3"
"896","2","2","3","3"
"902","4","3","4","2"
"916","1","3","4","3"
"922","3","2","3","2"
"925","4","2","4","2"
"926","2","3","3","4"
"930","3","3","3","3"
"932","4","3","1","1"
"939","3","2","1","3"
"949","2","3","4","3"
"975","3","3","3","3"
"991","3","2","1","3"
"995","2","3","4","3"
"1001","3","3","2","3"
"1004","1","3","3","3"
"1009","4","2","3","3"
"1010","3","2","2","1"
"1017","2","3","2","3"
"1022","1","2","3","3"
"1025","4","3","3","3"
"1027","1","3","4","3"
"1028","2","3","4","2"
"1037","2","1","1","3"
"1044","2","2","4","2"
"1053","1","3","1","3"
"1060","3","3","3","3"
"1069","4","3","4","3"
"1077","4","3","4","3"
"1084","3","3","1","2"
"1094","1","1","3","3"
"1096","4","3","2","3"
"1099","4","2","4","3"
"1102","1","3","3","2"
"1103","1","3","4","2"
"1108","1","2","2","3"
"1114","4","3","2","3"
"1131","4","2","2","4"
"1135","3","4","4","3"
"1137","4","3","4","3"
"1140","4","3","3","2"
"1157","1","3","1","3"
"1160","3","3","3","2"
"1161","3","2","4","3"
"1162","4","2","3","3"
"1185","4","2","4","4"
"1191","4","3","1","3"
"1195","1","3","3","2"
"1198","1","2","3","2"
"1215","4","3","1","3"
"1217","4","3","2","3"
"1234","3","2","2","3"
"1243","3","2","4","2"
"1249","1","3","4","3"
"1279","1","2","3","1"
"1281","3","3","1","3"
"1286","4","3","3","2"
"1291","3","3","3","3"
"1296","4","2","4","3"
"1301","4","3","1","2"
"1303","4","3","2","2"
"1308","1","3","3","3"
"1310","3","3","1","3"
"1311","1","2","4","3"
"1317","4","3","1","3"
"1329","3","1","2","3"
"1331","4","3","2","4"
"1333","1","3","1","4"
"1340","3","3","3","3"
"1358","4","3","4","2"
"1361","2","3","2","3"
"1367","4","2","2","2"
"1371","4","1","4","3"
"1380","4","3","3","2"
"1382","4","4","3","3"
"1389","4","3","3","2"
"1391","2","3","2","3"
"1392","4","3","4","2"
"1396","3","3","2","2"
"1399","1","4","3","2"
"1403","4","2","4","3"
"1405","4","3","3","3"
"1411","1","3","3","3"
"1412","3","3","4","3"
"1415","1","3","4","2"
"1428","4","3","1","3"
"1430","1","3","2","4"
"1436","3","2","1","2"
"1439","1","2","1","3"
"1441","1","3","1","4"
"1448","2","4","3","2"
"1461","4","4","2","3"
"1464","2","3","4","1"
"1466","3","3","1","3"
"1467","1","3","3","3"
"1471","3","2","3","3"
"1473","1","3","3","2"
"1475","4","3","2","2"
"1486","1","3","3","4"
"1496","2","3","3","2"
"1501","4","3","3","3"
"1507","3","3","1","3"
"1509","3","2","1","3"
"1513","4","3","2","3"
"1516","3","3","4","4"
"1537","4","3","3","1"
"1552","4","3","4","3"
"1556","3","3","4","2"
"1560","1","3","1","1"
"1568","3","3","2","3"
"1573","3","3","2","3"
"1576","3","3","1","2"
"1580","2","3","4","2"
"1583","2","3","2","4"
"1587","1","3","3","3"
"1592","4","4","3","3"
"1594","1","4","1","3"
"1597","4","2","3","2"
"1605","2","2","3","2"
"1607","2","4","4","3"
"1613","4","3","1","3"
"1614","3","3","3","3"
"1623","3","3","4","3"
"1625","4","3","3","3"
"1633","1","3","3","1"
"1641","3","3","4","2"
"1644","3","2","4","3"
"1645","1","1","4","2"
"1647","2","4","3","3"
"1648","4","3","4","2"
"1649","1","3","1","1"
"1650","3","2","3","3"
"1651","2","3","1","3"
"1655","1","3","2","3"
"1657","3","3","3","3"
"1662","4","2","3","3"
"1670","4","3","4","3"
"1674","4","3","1","2"
"1676","2","4","2","3"
"1680","4","3","1","3"
"1682","1","3","3","2"
"1683","3","3","4","3"
"1694","1","2","2","3"
"1702","3","3","4","3"
"1718","4","1","3","4"
"1720","1","3","3","2"
"1721","2","3","3","4"
"1722","3","1","2","3"
"1725","2","3","1","4"
